,tytul,data,link
0,North Atlantic Noncommutative Geometry Seminar,2024-03-06 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-9
1,North Atlantic Noncommutative Geometry Seminar,2024-02-28 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-8
2,North Atlantic Noncommutative Geometry Seminar,2024-01-24 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-12
3,North Atlantic Noncommutative Geometry Seminar,2024-01-17 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-11
4,North Atlantic Noncommutative Geometry Seminar,2024-01-10 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/tba-10
5,InfiniStore: Elastic Serverless Cloud Storage,2023-12-21 12:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/infinistore-elastic-serverless-cloud-storage
6,THE SCHOCHET SPECTRAL SEQUENCE FOR NONCOMMUTATIVE CW-COMPLEXES,2023-12-20 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/schochet-spectral-sequence-noncommutative-cw-complexes
7,A countably tight P(K) space admitting a nonseparable measure,2023-12-20 16:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/countably-tight-pk-space-admitting-nonseparable-measure
8,"""Ogonowa asymptotyka kopuli""",2023-12-20 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/ogonowa-asymptotyka-kopuli
9,Playing stochastically in Weighted Timed Games to Emulate Memory,2023-12-20 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/playing-stochastically-weighted-timed-games-emulate-memory
10,Funktorialne teorie pola,2023-12-20 10:30,https://www.mimuw.edu.pl/aktualnosci/seminaria/funktorialne-teorie-pola
11,Molecular signature of primate astrocytes reveals pathways and regulatory changes contributing to the human brain evolution,2023-12-20 10:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/molecular-signature-primate-astrocytes-reveals-pathways-and-regulatory-changes
12,Degenerate quadrics do not really exist and why this is useful,2023-12-14 12:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/degenerate-quadrics-do-not-really-exist-and-why-useful
13,Coercive inequalities for Gibbs measures ,2023-12-14 12:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/coercive-inequalities-gibbs-measures
14,EvenDB: Optimizing Key-Value Storage for Spatial Locality,2023-12-14 12:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/evendb-optimizing-key-value-storage-spatial-locality
15,GEOMETRIC METHODS IN BRAIDED VECTOR SPACES AND THEIR NICHOLS ALGEBRAS,2023-12-13 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/geometric-methods-braided-vector-spaces-and-their-nichols-algebras
16,"Compacta and their homeomorphism groups from posets, part 2",2023-12-13 16:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/compacta-and-their-homeomorphism-groups-posets-part-2
17,The Impact of Time Delay on Mutant Fixation in Evolutionary Games,2023-12-13 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/impact-time-delay-mutant-fixation-evolutionary-games
18,Zeroness of weighted basic parallel processes and other finitely generated classes of series,2023-12-13 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/zeroness-weighted-basic-parallel-processes-and-other-finitely-generated
19,Statistical methods in clinical trials with focus on Bayesian borrowing,2023-12-13 10:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/statistical-methods-clinical-trials-focus-bayesian-borrowing
20,Metody wyznaczania zespołów klasyfikatorów z wykorzystaniem bireduktów decyzyjnych,2023-12-08 16:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/metody-wyznaczania-zespolow-klasyfikatorow-z-wykorzystaniem-bireduktow-0
21,Przestrzenie liniowe orbitowo skończonego wymiaru (Vector spaces of orbit-finite dimension),2023-12-07 14:30,https://www.mimuw.edu.pl/aktualnosci/seminaria/przestrzenie-liniowe-orbitowo-skonczonego-wymiaru-vector-spaces-orbit-finite
22,Hardwired... to Szarek and Ball,2023-12-07 12:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/hardwired-szarek-and-ball
23,Rozproszone agregacje w ScyllaDB,2023-12-07 12:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/rozproszone-agregacje-w-scylladb
24,Fairly Allocating Goods and (Terrible) Chores,2023-12-07 10:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/fairly-allocating-goods-and-terrible-chores
25,ASSOCIATIVITY AND COMMUTATIVITY OF PARTIALLY ORDERED RINGS,2023-12-06 17:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/associativity-and-commutativity-partially-ordered-rings
26," ""An introduction to abstract Fraïssé theory"" and ""Uncountable homogeneous structures"" ",2023-12-06 16:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/introduction-abstract-fraisse-theory-and-uncountable-homogeneous-structures
27,A characterization of half-positionality for omega-regular languages,2023-12-06 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/characterization-half-positionality-omega-regular-languages
28,Impact of maturation delays on the eco-evolutionary dynamics of Hawk-Dove game,2023-12-06 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/impact-maturation-delays-eco-evolutionary-dynamics-hawk-dove-game
29,Granice w algebrze homotopijnej i ∞-kategoriach,2023-12-06 10:30,https://www.mimuw.edu.pl/aktualnosci/seminaria/granice-w-algebrze-homotopijnej-i-kategoriach
30,Unveiling Microbial Dark Matter: leveraging computational approaches for understanding the unseen world,2023-12-06 10:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/unveiling-microbial-dark-matter-leveraging-computational-approaches
31,Błażej Osiński,2023-12-07 14:00,https://www.mimuw.edu.pl/doktoraty/blazej-osinski
32,Barbara Poszewiecka,2023-12-13 14:15,https://www.mimuw.edu.pl/doktoraty/barbara-poszewiecka
33,Sebastian Stawicki,2024-01-11 14:00,https://www.mimuw.edu.pl/doktoraty/sebastian-stawicki
34,Maciej Gałązka,2023-12-15 16:00,https://www.mimuw.edu.pl/doktoraty/maciej-galazka
35,Rafał Stefański,2023-12-15 14:15,https://www.mimuw.edu.pl/doktoraty/rafal-stefanski
36,Mateusz Dębowski,2024-01-11 16:00,https://www.mimuw.edu.pl/doktoraty/mateusz-debowski
